Date,Description,Amount,Type,Category,Account Name,Month
2019-07-02,Hardware Store,-229.9,Expense,Home Improvement,Platinum Card,2019-07
2019-07-02,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-07
2019-07-04,Netflix,-13.9,Expense,Television,Platinum Card,2019-07
2019-07-05,Brewing Company,-19.0,Expense,Alcohol & Bars,Silver Card,2019-07
2019-07-05,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-07
2019-07-06,Credit Card Payment,220.08,Income,Credit Card Payment,Silver Card,2019-07
2019-07-06,Grocery Store,-92.98,Expense,Groceries,Platinum Card,2019-07
2019-07-06,Greek Restaurant,-23.26,Expense,Restaurants,Platinum Card,2019-07
2019-07-07,Hardware Store,-103.14,Expense,Home Improvement,Platinum Card,2019-07
2019-07-08,Credit Card Payment,-305.28,Expense,Credit Card Payment,Checking,2019-07
2019-07-08,Credit Card Payment,-220.08,Expense,Credit Card Payment,Checking,2019-07
2019-07-09,Credit Card Payment,549.72,Income,Credit Card Payment,Platinum Card,2019-07
2019-07-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-07
2019-07-10,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-07
2019-07-10,Gas Company,-30.0,Expense,Utilities,Checking,2019-07
2019-07-15,Grocery Store,-87.14,Expense,Groceries,Silver Card,2019-07
2019-07-16,Amazon,-89.99,Expense,Shopping,Platinum Card,2019-07
2019-07-16,Power Company,-60.0,Expense,Utilities,Checking,2019-07
2019-07-17,City Water Charges,-35.0,Expense,Utilities,Checking,2019-07
2019-07-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-07
2019-07-18,Credit Card Payment,-814.5,Expense,Credit Card Payment,Checking,2019-07
2019-07-18,BP,-36.42,Expense,Gas & Fuel,Silver Card,2019-07
2019-07-18,Grocery Store,-29.83,Expense,Groceries,Platinum Card,2019-07
2019-07-18,Brunch Restaurant,-8.82,Expense,Restaurants,Platinum Card,2019-07
2019-07-19,Credit Card Payment,115.52,Income,Credit Card Payment,Platinum Card,2019-07
2019-07-19,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-07
2019-07-19,Mexican Restaurant,-28.0,Expense,Restaurants,Platinum Card,2019-07
2019-07-22,Credit Card Payment,257.08,Income,Credit Card Payment,Silver Card,2019-07
2019-07-22,Thai Restaurant,-26.67,Expense,Restaurants,Silver Card,2019-07
2019-07-23,Credit Card Payment,-257.08,Expense,Credit Card Payment,Checking,2019-07
2019-07-24,Starbucks,-2.5,Expense,Coffee Shops,Silver Card,2019-07
2019-07-27,Barbershop,-30.0,Expense,Haircut,Silver Card,2019-07
2019-07-28,Hardware Store,-44.31,Expense,Home Improvement,Platinum Card,2019-07
2019-07-29,Grocery Store,-5.35,Expense,Groceries,Platinum Card,2019-07
2019-07-29,Fancy Restaurant,-44.92,Expense,Restaurants,Silver Card,2019-07
2019-07-30,Grocery Store,-15.77,Expense,Groceries,Platinum Card,2019-07
2019-07-30,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-07
2019-08-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-08
2019-08-02,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-08
2019-08-02,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-08
2019-08-03,BP,-36.36,Expense,Gas & Fuel,Platinum Card,2019-08
2019-08-03,Grocery Store,-3.96,Expense,Groceries,Platinum Card,2019-08
2019-08-03,American Tavern,-23.47,Expense,Restaurants,Platinum Card,2019-08
2019-08-04,Netflix,-13.9,Expense,Television,Platinum Card,2019-08
2019-08-05,Brewing Company,-18.0,Expense,Alcohol & Bars,Silver Card,2019-08
2019-08-05,Credit Card Payment,349.28,Income,Credit Card Payment,Platinum Card,2019-08
2019-08-05,Credit Card Payment,117.65,Income,Credit Card Payment,Silver Card,2019-08
2019-08-06,Credit Card Payment,-521.17,Expense,Credit Card Payment,Checking,2019-08
2019-08-06,Credit Card Payment,-117.65,Expense,Credit Card Payment,Checking,2019-08
2019-08-06,Hardware Store,-125.0,Expense,Home Improvement,Checking,2019-08
2019-08-08,Grocery Store,-11.72,Expense,Groceries,Silver Card,2019-08
2019-08-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-08
2019-08-09,Gas Company,-30.0,Expense,Utilities,Checking,2019-08
2019-08-12,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-08
2019-08-12,Thai Restaurant,-26.67,Expense,Restaurants,Silver Card,2019-08
2019-08-14,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-08
2019-08-15,Credit Card Payment,-335.2,Expense,Credit Card Payment,Checking,2019-08
2019-08-15,Power Company,-60.0,Expense,Utilities,Checking,2019-08
2019-08-16,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-08
2019-08-16,City Water Charges,-35.0,Expense,Utilities,Checking,2019-08
2019-08-17,Credit Card Payment,87.17,Income,Credit Card Payment,Platinum Card,2019-08
2019-08-17,Grocery Store,-33.15,Expense,Groceries,Platinum Card,2019-08
2019-08-17,Barbershop,-19.0,Expense,Haircut,Platinum Card,2019-08
2019-08-17,American Tavern,-3.5,Expense,Restaurants,Platinum Card,2019-08
2019-08-19,Credit Card Payment,-1248.95,Expense,Credit Card Payment,Checking,2019-08
2019-08-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-08
2019-08-20,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-08
2019-08-21,Shell,-34.69,Expense,Gas & Fuel,Platinum Card,2019-08
2019-08-23,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-08
2019-08-25,Brunch Restaurant,-39.43,Expense,Restaurants,Platinum Card,2019-08
2019-08-26,Hardware Store,-66.75,Expense,Home Improvement,Silver Card,2019-08
2019-08-29,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2019-08
2019-08-30,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-08
2019-08-30,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-08
2019-08-30,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-08
2019-08-31,Hardware Store,-68.04,Expense,Home Improvement,Platinum Card,2019-08
2019-08-31,BBQ Restaurant,-41.78,Expense,Restaurants,Silver Card,2019-08
2019-09-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-09
2019-09-03,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-09
2019-09-03,Fancy Restaurant,-41.24,Expense,Restaurants,Silver Card,2019-09
2019-09-04,Netflix,-13.9,Expense,Television,Platinum Card,2019-09
2019-09-05,Starbucks,-3.75,Expense,Coffee Shops,Platinum Card,2019-09
2019-09-06,Credit Card Payment,1390.37,Income,Credit Card Payment,Platinum Card,2019-09
2019-09-06,Credit Card Payment,-1390.37,Expense,Credit Card Payment,Checking,2019-09
2019-09-06,Credit Card Payment,-502.75,Expense,Credit Card Payment,Checking,2019-09
2019-09-07,Brewing Company,-12.87,Expense,Alcohol & Bars,Platinum Card,2019-09
2019-09-08,Brewing Company,-19.3,Expense,Alcohol & Bars,Platinum Card,2019-09
2019-09-09,Shell,-28.77,Expense,Gas & Fuel,Platinum Card,2019-09
2019-09-09,Grocery Store,-65.09,Expense,Groceries,Silver Card,2019-09
2019-09-09,Hardware Store,-26.25,Expense,Home Improvement,Silver Card,2019-09
2019-09-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-09
2019-09-09,Gas Company,-30.0,Expense,Utilities,Checking,2019-09
2019-09-11,Credit Card Payment,360.56,Income,Credit Card Payment,Silver Card,2019-09
2019-09-11,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-09
2019-09-12,Credit Card Payment,-360.56,Expense,Credit Card Payment,Checking,2019-09
2019-09-13,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-09
2019-09-13,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-09
2019-09-14,Grocery Store,-46.44,Expense,Groceries,Platinum Card,2019-09
2019-09-15,Amazon,-47.66,Expense,Shopping,Platinum Card,2019-09
2019-09-16,Credit Card Payment,-90.57,Expense,Credit Card Payment,Checking,2019-09
2019-09-16,Credit Card Payment,90.57,Income,Credit Card Payment,Silver Card,2019-09
2019-09-16,City Water Charges,-35.0,Expense,Utilities,Checking,2019-09
2019-09-17,Credit Card Payment,186.13,Income,Credit Card Payment,Platinum Card,2019-09
2019-09-17,Power Company,-60.0,Expense,Utilities,Checking,2019-09
2019-09-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-09
2019-09-18,Credit Card Payment,-1606.46,Expense,Credit Card Payment,Checking,2019-09
2019-09-19,Brewing Company,-40.81,Expense,Alcohol & Bars,Platinum Card,2019-09
2019-09-19,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-09
2019-09-20,Credit Card Payment,9.43,Income,Credit Card Payment,Silver Card,2019-09
2019-09-22,Seafood Restaurant,-131.1,Expense,Restaurants,Platinum Card,2019-09
2019-09-23,Credit Card Payment,-9.43,Expense,Credit Card Payment,Checking,2019-09
2019-09-23,Grocery Store,-27.71,Expense,Groceries,Platinum Card,2019-09
2019-09-23,Amazon,-24.63,Expense,Shopping,Platinum Card,2019-09
2019-09-27,Biweekly Paycheck,2250.0,Income,Paycheck,Checking,2019-09
2019-09-28,BP,-33.46,Expense,Gas & Fuel,Platinum Card,2019-09
2019-09-28,Sheetz,-4.27,Expense,Gas & Fuel,Platinum Card,2019-09
2019-09-30,Starbucks,-1.75,Expense,Coffee Shops,Platinum Card,2019-09
2019-09-30,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-09
